BODY_END_FRONT_VIEW
44.00000 0.00000
45.83129 0.05995
47.65473 0.23954
49.46253 0.53801
51.24693 0.95408
53.00031 1.48596
54.71514 2.13137
56.38408 2.88756
58.00000 3.75129
59.55597 4.71885
61.04532 5.78611
62.46168 6.94849
63.79899 8.20101
65.05151 9.53832
66.21389 10.95468
67.28115 12.44403
68.24871 14.00000
69.11244 15.61592
69.86863 17.28486
70.51404 18.99969
71.04592 20.75307
71.46199 22.53747
71.76046 24.34527
71.94005 26.16871
72.00000 28.00000
72.00000 32.00000
71.94005 33.83129
71.76046 35.65473
71.46199 37.46253
71.04592 39.24693
70.51404 41.00031
69.86863 42.71514
69.11244 44.38408
68.24871 46.00000
67.28115 47.55597
66.21389 49.04532
65.05151 50.46168
63.79899 51.79899
62.46168 53.05151
61.04532 54.21389
59.55597 55.28115
58.00000 56.24871
56.38408 57.11244
54.71514 57.86863
53.00031 58.51404
51.24693 59.04592
49.46253 59.46199
47.65473 59.76046
45.83129 59.94005
44.00000 60.00000
0.00000 60.00000
0.00000 0.00000
